IPEDS,BlkTotalStudents,HispTotalStudents,2017USNewstop65,2014MedSchool,VetSchool,TotalEnroll,GradEnroll,Sixyeargraduationrate,ACTSATAvg,FreshAdmitRate,FreshmenRetention,UGPellGrants,Bachelors,DoctProfess,TotalEGExpend,EGSt.FTE,StateAppropRev,TuitionFeeRev,RevfromState,RevfromTuitFees,fromStateTuition,Endowment,TotalResearchExpenditures000,StudentFacultyRatio,TotalFaculty,ARUFacultyAwards,WallSt.JourlRank,ST.FTE,TotalDegrees,TotalExpend,TotalRevenue,EnowmentSt.FTE,AGResearch000,TotalTenureTenureTrackFacutly,FacutlyFTE,UGwithLoans,UGAge25,TotalAge25,FullTime,FacultyAcademyMemb,UGTotalEnroll,GRTotalEnroll,FulltimeStudents,ParttimeStudents,UGEnrollAge25,GREnrollAge25,BachDegrees,MastersDegrees,DoctoralDegrees,ProfessDegrees,ACTSAT25,ACTSAT75,StateTuitSt.FTE,AcademicSupportExpenditures,StudentServicesExpenditures,EndowmentFigure,EndowmentperStudentFTE,TotalFaculty,TotalTenureTenureTrackFacutly
145637,5,8,10,1,1,45842,27,85,28.5,66,93,21,66,9,2257275682,59986,258640256,719151731,10,27,37,1489990976,639817,19,2593,29,48,43118,13041,2586487077,2646806576,32503,130410,1835,2383,38,2,18,91,55,33368,12474,41756,4086,674,7540,8621,3286,829,305,26,31,22677,1289584273,29908,1289584273,29908,2278,1799
240444,2,5,10,1,1,42716,27,85,29.0,58,96,12,71,12,2175188662,63725,387773287,413841600,15,16,31,2739728036,1069077,18,4363,26,67,39792,12406,2535761218,2546274588,70553,55099,2107,3746,35,5,22,90,75,30991,11725,38330,4386,1577,8020,8747,2153,857,649,27,31,20145,3133196699,78739,3133196699,78739,3393,1982
110635,2,12,1,0,0,38189,28,92,31.0,17,96,26,71,10,2398394750,72157,344389000,730157000,12,26,38,3845280801,788505,17,2337,32,37,36703,12067,2648373000,2845717000,103398,62493,1404,1900,26,6,26,94,230,27496,10693,35960,2229,1686,8091,8516,2386,826,339,28,34,29277,1671939000,45553,1671939000,45553,1650,1381
110662,3,18,2,1,0,41908,29,91,29.5,17,96,30,66,11,3937954640,154179,473116000,668355000,7,10,17,3849133252,1021227,16,4395,33,26,40967,12749,6316298000,6630992000,90249,0,1731,3682,35,5,25,97,100,29585,12323,40497,1411,1517,8892,8373,2992,774,610,26,33,27863,1616045000,39447,1616045000,39447,3290,1688
110705,2,24,8,0,0,23497,12,81,27.5,33,93,38,86,6,809412478,43285,185034000,325013000,19,33,51,279311267,222870,17,1103,11,106,23150,6225,1002033000,998909000,11993,0,810,983,40,2,11,98,58,20607,2890,22976,521,464,2027,5357,519,349,0,24,31,22033,144379000,6237,144379000,6237,923,803
163286,11,8,20,0,0,38140,28,86,29.5,45,95,14,70,6,1471736805,50307,466392497,434750774,26,24,50,466074705,505699,17,2488,11,100,35047,10955,1763134901,1813041454,14163,56326,1410,2038,34,7,25,88,30,27443,10697,33501,4639,1793,7582,7700,2562,654,39,27,32,25712,487268756,13903,487268756,13903,1813,1376
170976,4,5,4,1,0,43651,35,90,31.0,26,97,13,58,12,2828120000,154853,295174000,990071000,4,15,19,9743461082,1369278,12,7703,50,24,41960,14005,6497563000,6713333000,176970,18542,2934,6713,32,2,23,94,106,28312,15339,41114,2537,498,9541,8097,4296,882,730,29,33,30630,9603919000,228885,9603919000,228885,6218,2744
199120,8,7,5,1,0,29084,37,90,30.5,31,97,20,64,13,2172914100,116880,479186534,395005214,15,13,28,2899973752,966781,14,1966,21,30,25741,9261,3008647399,3099203311,105385,0,1215,1816,32,4,30,83,38,18415,10669,24070,5014,710,7951,5901,2141,519,700,28,33,33961,2659759286,103326,2659759286,103326,1731,1209
215293,5,3,24,1,0,28649,34,82,28.0,54,92,15,61,13,1819598000,73917,184905000,580633000,9,28,37,3546458000,861205,15,4640,28,59,26526,8617,1960705000,2060915000,108406,0,1597,4168,54,6,26,89,33,18908,9741,25464,3185,1132,6259,5232,2295,438,652,26,30,28860,0,0,3610395000,136109,3932,1565
228778,4,20,18,1,0,50950,22,80,29.0,39,95,22,68,10,2111270659,52969,829369276,471983244,30,17,47,10935780996,650608,18,3043,17,51,48321,14070,2559511752,2763545564,234176,0,1855,2833,36,4,19,92,72,39619,11331,47007,3943,1694,7835,9503,3188,899,480,26,32,26931,3376824061,69883,3376824061,69883,2728,1855
234076,6,5,2,1,0,23883,30,93,30.5,30,97,12,64,12,1226864767,125365,136725428,479424150,4,15,19,5852308928,373218,15,2285,11,56,22459,7463,2815575207,3201054439,27987,0,1392,2180,26,5,24,91,24,16736,7147,21747,2136,762,4946,4812,1760,366,525,28,33,27434,5876310216,261646,5876310216,261646,2127,1387
236948,2,7,16,1,0,45408,32,84,27.5,53,94,21,63,10,3014445149,113431,255156233,914419476,5,18,23,2968012527,1180563,20,4559,39,61,41851,13344,4747225369,4982563228,53035,30856,2910,3899,30,9,30,88,116,31063,14345,40073,5335,2811,10970,8343,3606,841,554,24,31,27946,2915057707,69653,2915057707,69653,3569,2554
159391,12,6,64,0,1,31524,17,67,25.5,77,85,22,73,9,913203418,38006,217160961,308224959,19,26,45,416717253,281154,23,1451,5,441,29067,6441,1104694912,1164446959,14233,74013,965,1338,30,5,16,88,3,26156,5368,27838,3686,1356,3641,4707,1130,331,273,23,28,18075,506467351,17424,506467351,17424,1282,965
233921,4,5,27,0,1,32663,22,83,26.5,73,94,15,75,7,1046798126,41580,242830896,411207016,18,30,48,842991159,504282,14,1745,7,149,30759,8204,1278963580,1352244962,26949,104627,1424,1809,42,3,18,91,16,25384,7279,29807,2856,637,5245,6134,1428,488,105,24,29,21263,788800000,25645,788800000,25645,1731,1419
157085,7,4,63,1,1,29727,24,63,25.0,89,83,26,69,12,1288801010,94760,279611300,302936441,9,10,20,1096112000,331705,17,2134,12,380,27872,6572,2641130361,2954536247,38024,59511,1526,1836,45,7,21,91,3,22705,7022,26944,2783,1659,4553,4504,1260,295,513,22,28,20901,1215225687,43601,1215225687,43601,1686,1477
176080,19,2,93,0,1,20873,17,60,25.0,65,82,32,77,5,557124295,33938,180278300,134396877,27,20,46,444485187,226359,19,1110,1,487,18873,4197,640511953,677923258,23809,106463,749,1007,49,10,20,86,2,17421,3452,17873,3000,1659,2596,3211,760,146,80,21,29,16673,456609736,24194,456609736,24194,956,748
178396,7,3,51,1,1,35424,22,69,26.5,78,87,21,72,9,889922805,65026,224562005,343506166,10,15,26,869565594,246684,20,2664,6,325,32468,8347,2111260516,2216331274,28357,86596,990,2130,46,3,18,87,8,27791,7633,30990,4434,940,5309,5995,1571,435,346,24,29,17496,806717048,24847,806717048,24847,1848,973
